,Name,PlayerID,Position,Team,TeamID
0,LeBron James,20000571,Scrambled,EAST,31
1,Kawhi Leonard,20000646,Scrambled,EAST,31
2,Kyrie Irving,20000574,Scrambled,EAST,31
3,Kevin Durant,20000884,Scrambled,EAST,31
4,James Harden,20000544,Scrambled,EAST,31
5,LaMarcus Aldridge,20000616,Scrambled,EAST,31
6,Anthony Davis,20000468,Scrambled,EAST,31
7,Damian Lillard,20000619,Scrambled,EAST,31
8,Klay Thompson,20000486,Scrambled,EAST,31
9,Karl-Anthony Towns,20001431,Scrambled,EAST,31
10,Bradley Beal,20000441,Scrambled,EAST,31
11,Ben Simmons,20001661,Scrambled,EAST,31
12,Dwyane Wade,20000772,Scrambled,EAST,31
13,Giannis Antetokounmpo,20000497,Scrambled,WEST,32
14,Joel Embiid,20000726,Scrambled,WEST,32
15,Kemba Walker,20000752,Scrambled,WEST,32
16,Paul George,20000742,Scrambled,WEST,32
17,Stephen Curry,20000485,Scrambled,WEST,32
18,Nikola Jokic,20001441,Scrambled,WEST,32
19,Russell Westbrook,20000877,Scrambled,WEST,32
20,Blake Griffin,20000661,Scrambled,WEST,32
21,Kyle Lowry,20000457,Scrambled,WEST,32
22,Khris Middleton,20000500,Scrambled,WEST,32
23,Victor Oladipo,20000689,Scrambled,WEST,32
24,Nikola Vucevic,20000678,Scrambled,WEST,32
25,Dirk Nowitzki,20000527,Scrambled,WEST,32
26,D'Angelo Russell,20001458,Scrambled,WEST,32
